type,name,code,address,district,branch_name,open_date
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003001,"20, Kathmandu Metropolitian City",Kathmandu,New Road Branch,1986-04-11
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003002,"6, Kathmandu Metropolitian City",Kathmandu,Jorpati Branch,1985-12-27
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003003,"13, Birgunj Metropolitian City",Parsa,Birgunj Branch,1988-11-13
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003004,"15, Birgunj Metropolitian City",Parsa,Power House Chowk Branch,1988-07-12
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003005,"7, Biratnagar Metropolitian City",Morang,Biratnagar Branch,1992-01-10
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003006,"1, Itahari Sub-Metropolitian City",Sunsari,Itahari Branch,2000-09-29
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003007,"6, Butwal Sub-Metropolitian City",Rupandehi,Butwal Branch,1995-11-17
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003008,"3, Tilottama Municipality",Rupandehi,Bhalwadi Branch,1996-07-16
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003009,"8, Pokhara Metropolitian City",Kaski,Pokhara Branch,1996-12-30
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003010,"13, Siddharthanagar Municipality",Rupandehi,Bhairahawa Branch,2001-08-08
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003011,"2, Janaki Rural Municipality",Banke,Nepalgunj Branch,2001-11-05
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003012,"3, Kathmandu Metropolitian City",Kathmandu,Maharajgunj Branch,2005-04-15
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003013,"5, Dharan Sub-Metropolitian City",Sunsari,Dharan Branch,2004-01-15
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003014,"1, Kathmandu Metropolitian City",Kathmandu,Tindhara,2010-11-14
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003015,"11, Kathmandu Metropolitian City",Kathmandu,Tripureshwar Branch,1984-07-12
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003016,"3, Lalitpur Metropolitian City",Lalitpur,Lalitpur Branch,1993-02-01
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003017,"4, Birtamod Municipality",Jhapa,Birtamod Branch,2007-11-07
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003018,"6, Damak Municipality",Jhapa,Damak Branch,2007-10-16
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003019,"4, Hetauda Sub-Metropolitian City",Makwanpur,Hetauda Branch,2007-11-07
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003020,"3, Bharatpur Metropolitian City",Chitawan,Narayangadh Branch,2007-10-30
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003021,"5, Tulsipur Sub-Metropolitian City",Dang,Tulshipur Branch,2007-11-05
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003022,"11, Ghorahi Sub-Metropolitian City",Dang,Ghorahi Branch,2007-11-02
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003023,"2, Baglung Municipality",Baglung,Baglung Branch,2007-09-18
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003024,"3, Dhangadhi Sub-Metropolitian City",Kailali,Boradandi Branch,2007-09-26
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002102,"8, Ramechhap Municipality",Ramechhap,Ramechhap,1969-02-23
Commercial Bank (Class A),"
                                            Standard Chartered Bank Nepal Limited
                                        ",11005001,"3, Kathmandu Metropolitian City",Kathmandu,Head office,1987-01-01
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003025,"4, Bhimdatta Municipality",Kanchanpur,Mahendranagar Branch,2007-10-01
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003026,"10, Kathmandu Metropolitian City",Kathmandu,New Baneshwar Branch,2009-05-15
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003027,"15, Nagarjun Municipality",Kathmandu,Halchowk Branch,2009-05-15
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003028,"17, Kathmandu Metropolitian City",Kathmandu,Thamel Branch,2009-05-15
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003029,"15, Madhyapur Thimi Municipality",Bhaktapur,Kaushaltar Branch,2009-05-15
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003030,"7, Kathmandu Metropolitian City",Kathmandu,Chabahil Branch,2009-11-09
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003031,"29, Kathmandu Metropolitian City",Kathmandu,Maitidevi Branch,2009-11-12
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003032,"16, Kathmandu Metropolitian City",Kathmandu,Balaju Branch,2009-11-26
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003033,"14, Kathmandu Metropolitian City",Kathmandu,Kuleshwar Branch,2009-12-24
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003034,"15, Lalitpur Metropolitian City",Lalitpur,Satdobato Branch,2009-11-23
Commercial Bank (Class A),"
                                            Nabil Bank Limited
                                        ",11003035,"10, Bhimeshwor Municipality",Dolakha,Charikot Branch,2010-06-03
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002103,"3, Nilkhantha Municipality",Dhading,Dhading,1975-08-26
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002104,"4, Dhulikhel Municipality",Kavrepalanchok,Dhulikhel,1976-03-14
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002105,"1, Gajuri Rural Municipality",Dhading,Gajuri,1976-09-12
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002106,"6, Kamalamai Municipality",Sindhuli,Sindhuli,1976-07-05
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002108,"7, Dhunibenshi Municipality",Dhading,Khanikhola,1976-09-12
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002109,"22, Kathmandu Metropolitian City",Kathmandu,Main Branch office,1966-01-23
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002110,"26, Kathmandu Metropolitian City",Kathmandu,Thamel,1973-12-16
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002111,"7, Madhyapur Thimi Municipality",Bhaktapur,Thimi,1974-10-28
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002112,"19, Lalitpur Metropolitian City",Lalitpur,Lalitpur,1976-07-13
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002113,"29, Kathmandu Metropolitian City",Kathmandu,Putalisadak,1968-03-19
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002114,"3, Lalitpur Metropolitian City",Lalitpur,Pulchowk,1974-03-20
Commercial Bank (Class A),"
                                            Rastriya Banijya Bank
                                        ",11002115,"3, Kathmandu Metropolitian City",Kathmandu,Maharajgunj,1976-07-10
Commercial Bank (Class A),"
                                            Standard Chartered Bank Nepal Limited
                                        ",11005002,"2, Kathmandu Metropolitian City",Kathmandu,Lazimpat Branch,2006-07-16
Commercial Bank (Class A),"
                                            Standard Chartered Bank Nepal Limited
                                        ",11005004,"3, Lalitpur Metropolitian City",Lalitpur,UN,2001-01-01
