S.N.,District Name,Province,Area (sq km)
1,Achham,Sudurpashchim,1680
2,Arghakhanchi,Lumbini,1193
3,Baglung,Gandaki,1784
4,Baitadi,Sudurpashchim,1519
5,Bajhang,Sudurpashchim,3422
6,Bajura,Sudurpashchim,2188
7,Banke,Lumbini,2337
8,Bara,Madhesh,1190
9,Bardiya,Lumbini,2025
10,Bhaktapur,Bagmati,119
11,Bhojpur,Koshi,1507
12,Chitwan,Bagmati,2218
13,Dadeldhura,Sudurpashchim,1538
14,Dailekh,Karnali,1502
15,Dang,Lumbini,2955
16,Darchula,Sudurpashchim,2322
17,Dhading,Bagmati,1926
18,Dhankuta,Koshi,892
19,Dhanusha,Madhesh,1180
20,Dolakha,Bagmati,2191
21,Dolpa,Karnali,7889
22,Doti,Sudurpashchim,2025
23,Gorkha,Gandaki,3610
24,Gulmi,Lumbini,1149
25,Humla,Karnali,5655
26,Ilam,Koshi,1703
27,Jajarkot,Karnali,2230
28,Jhapa,Koshi,1606
29,Jumla,Karnali,2531
30,Kailali,Sudurpashchim,3235
31,Kalikot,Karnali,1741
32,Kanchanpur,Sudurpashchim,1610
33,Kapilvastu,Lumbini,1738
34,Kaski,Gandaki,2017
35,Kathmandu,Bagmati,395
36,Kavrepalanchok,Bagmati,1396
37,Khotang,Koshi,1591
38,Lalitpur,Bagmati,385
39,Lamjung,Gandaki,1692
40,Mahottari,Madhesh,1002
41,Makwanpur,Bagmati,2426
42,Manang,Gandaki,2246
43,Morang,Koshi,1855
44,Mugu,Karnali,3535
45,Mustang,Gandaki,3573
46,Myagdi,Gandaki,2297
47,"Nawalparasi East (Nawalpur)",Gandaki,1331
48,"Nawalparasi West (Parasi)",Lumbini,635
49,Nuwakot,Bagmati,1121
50,Okhaldhunga,Koshi,1074
51,Palpa,Lumbini,1373
52,Panchthar,Koshi,1241
53,Parbat,Gandaki,494
54,Parsa,Madhesh,1353
55,Pyuthan,Lumbini,1309
56,Ramechhap,Bagmati,1546
57,Rasuwa,Bagmati,1544
58,Rautahat,Madhesh,1126
59,Rolpa,Lumbini,1879
60,Rukum East,Lumbini,1161
61,Rukum West,Karnali,1213
62,Rupandehi,Lumbini,1360
63,Salyan,Karnali,1462
64,Sankhuwasabha,Koshi,3480
65,Saptari,Madhesh,1363
66,Sarlahi,Madhesh,1259
67,Sindhuli,Bagmati,2491
68,Sindhupalchok,Bagmati,2542
69,Siraha,Madhesh,1188
70,Solukhumbu,Koshi,3312
71,Sunsari,Koshi,1257
72,Surkhet,Karnali,2451
73,Syangja,Gandaki,1164
74,Tanahun,Gandaki,1546
75,Taplejung,Koshi,3646
76,Terhathum,Koshi,679
77,Udayapur,Koshi,2063
