"Number of households by type of ownership of housing unit, NPHC 2021",,,,,,
Local level,Ward Codes,Total ,Owned,Rented,institutional,Other
Phaktanglung Rural Municipality,1010101,299,285,10,1,3
Phaktanglung Rural Municipality,1010102,544,535,8,1,0
Phaktanglung Rural Municipality,1010103,527,474,47,6,0
Phaktanglung Rural Municipality,1010104,472,444,23,5,0
Phaktanglung Rural Municipality,1010105,403,363,33,7,0
Phaktanglung Rural Municipality,1010106,522,493,22,4,3
Phaktanglung Rural Municipality,1010107,65,64,1,0,0
Mikwakhola Rural Municipality,1010201,356,339,13,4,0
Mikwakhola Rural Municipality,1010202,348,316,22,2,8
Mikwakhola Rural Municipality,1010203,334,329,4,0,1
Mikwakhola Rural Municipality,1010204,551,546,5,0,0
Mikwakhola Rural Municipality,1010205,256,247,0,1,8
Meringden Rural Municipality,1010301,467,445,9,1,12
Meringden Rural Municipality,1010302,533,530,3,0,0
Meringden Rural Municipality,1010303,339,309,28,0,2
Meringden Rural Municipality,1010304,330,311,11,1,7
Meringden Rural Municipality,1010305,599,587,8,0,4
Meringden Rural Municipality,1010306,394,391,2,0,1
Maiwakhola Rural Municipality,1010401,415,356,32,2,25
Maiwakhola Rural Municipality,1010402,344,280,59,5,0
Maiwakhola Rural Municipality,1010403,432,385,42,0,5
Maiwakhola Rural Municipality,1010404,339,334,1,0,4
Maiwakhola Rural Municipality,1010405,391,346,31,0,14
Maiwakhola Rural Municipality,1010406,328,321,2,1,4
Aathrai Tribeni Rural Municipality,1010501,455,443,10,1,1
Aathrai Tribeni Rural Municipality,1010502,701,657,28,1,15
Aathrai Tribeni Rural Municipality,1010503,814,753,36,4,21
Aathrai Tribeni Rural Municipality,1010504,461,431,25,0,5
Aathrai Tribeni Rural Municipality,1010505,423,341,78,0,4
Phungling Municipality,1010601,269,233,16,0,20
Phungling Municipality,1010602,956,709,240,6,1
Phungling Municipality,1010603,650,569,69,2,10
Phungling Municipality,1010604,1072,542,511,8,11
Phungling Municipality,1010605,542,341,186,7,8
Phungling Municipality,1010606,779,483,283,11,2
Phungling Municipality,1010607,459,346,102,3,8
Phungling Municipality,1010608,508,475,31,0,2
Phungling Municipality,1010609,812,750,49,2,11
Phungling Municipality,1010610,569,534,30,4,1
Phungling Municipality,1010611,282,272,9,0,1
Yangwarak Rural Municipality,1010701,757,707,40,0,10
Yangwarak Rural Municipality,1010702,705,589,86,2,28
Yangwarak Rural Municipality,1010703,341,339,1,1,0
Yangwarak Rural Municipality,1010704,291,251,36,1,3
Yangwarak Rural Municipality,1010705,177,175,1,0,1
Yangwarak Rural Municipality,1010706,434,405,23,0,6
Sirijangha Rural Municipality,1010801,426,346,68,1,11
Sirijangha Rural Municipality,1010802,616,569,31,0,16
Sirijangha Rural Municipality,1010803,428,415,10,3,0
Sirijangha Rural Municipality,1010804,555,470,66,11,8
Sirijangha Rural Municipality,1010805,337,319,15,3,0
Sirijangha Rural Municipality,1010806,226,221,0,0,5
Sirijangha Rural Municipality,1010807,501,455,7,1,38
Sirijangha Rural Municipality,1010808,166,158,7,1,0
Sidingba Rural Municipality,1010901,145,143,0,2,0
Sidingba Rural Municipality,1010902,226,215,7,0,4
Sidingba Rural Municipality,1010903,490,474,8,1,7
Sidingba Rural Municipality,1010904,453,421,13,0,19
Sidingba Rural Municipality,1010905,354,353,0,1,0
Sidingba Rural Municipality,1010906,451,447,2,0,2
Sidingba Rural Municipality,1010907,357,351,1,0,5
Bhotkhola Rural Municipality,1020101,83,83,0,0,0
Bhotkhola Rural Municipality,1020102,387,376,11,0,0
Bhotkhola Rural Municipality,1020103,349,338,9,1,1
Bhotkhola Rural Municipality,1020104,505,485,17,3,0
Bhotkhola Rural Municipality,1020105,360,353,2,1,4
Makalu Rural Municipality,1020201,211,206,5,0,0
Makalu Rural Municipality,1020202,694,666,18,5,5
Makalu Rural Municipality,1020203,859,831,24,3,1
Makalu Rural Municipality,1020204,372,358,11,1,2
Makalu Rural Municipality,1020205,1062,918,122,7,15
Makalu Rural Municipality,1020206,278,265,7,3,3
Silichong Rural Municipality,1020301,600,591,9,0,0
Silichong Rural Municipality,1020302,566,554,6,5,1
Silichong Rural Municipality,1020303,610,598,4,7,1
